2025-05-03T12:10:01, INFO, nrbdaq.sh, nrbdaq.py already running.
2025-05-03T12:15:01, INFO, nrbdaq.sh, nrbdaq.py already running.
2025-05-03T12:19:57, INFO, nrbdaq, Initialize FIDAS
2025-05-03T12:20:01, INFO, nrbdaq.sh, nrbdaq.py already running.
2025-05-03T12:21:00, INFO, nrbdaq, [FIDAS.__exit__] Goodbye!
2025-05-03T12:25:01, INFO, nrbdaq.sh, nrbdaq.py already running.
2025-05-03T12:30:01, INFO, nrbdaq.sh, nrbdaq.py already running.
2025-05-03T12:31:57, INFO, nrbdaq, Initialize FIDAS
2025-05-03T12:31:57, INFO, nrbdaq, Initialize FIDAS
2025-05-03T12:33:47, INFO, nrbdaq, Initialize FIDAS
2025-05-03T12:34:48, INFO, nrbdaq, [FIDAS.__exit__] Goodbye!
2025-05-03T12:35:01, INFO, nrbdaq.sh, nrbdaq.py already running.
2025-05-03T12:40:02, INFO, nrbdaq.sh, nrbdaq.py already running.
2025-05-03T12:45:01, INFO, nrbdaq.sh, nrbdaq.py already running.
2025-05-03T12:45:29, INFO, nrbdaq, Initialize FIDAS
2025-05-03T12:46:12, INFO, nrbdaq, [FIDAS.__exit__] Goodbye!
2025-05-03T12:50:01, INFO, nrbdaq.sh, nrbdaq.py already running.
2025-05-03T12:55:01, INFO, nrbdaq.sh, nrbdaq.py already running.
2025-05-03T13:00:01, INFO, nrbdaq.sh, nrbdaq.py already running.
2025-05-03T13:05:01, INFO, nrbdaq.sh, nrbdaq.py already running.
2025-05-03T13:10:01, INFO, nrbdaq.sh, nrbdaq.py already running.
2025-05-03T13:15:01, INFO, nrbdaq.sh, nrbdaq.py already running.
2025-05-03T13:15:50, INFO, nrbdaq, Initialize FIDAS
2025-05-03T13:16:26, INFO, nrbdaq, [FIDAS.__exit__] Goodbye!
2025-05-03T13:20:01, INFO, nrbdaq.sh, nrbdaq.py already running.
2025-05-03T13:20:11, INFO, nrbdaq, Initialize FIDAS
2025-05-03T13:21:11, INFO, nrbdaq, [FIDAS.__exit__] Goodbye!
2025-05-03T13:25:01, INFO, nrbdaq.sh, nrbdaq.py already running.
2025-05-03T13:29:57, INFO, nrbdaq, Initialize FIDAS
2025-05-03T13:29:57, INFO, nrbdaq, Initialize FIDAS
2025-05-03T13:29:57, INFO, nrbdaq, [FIDAS.__exit__] Goodbye!
2025-05-03T13:29:57, INFO, nrbdaq, [FIDAS.__exit__] Goodbye!
2025-05-03T13:30:01, INFO, nrbdaq.sh, nrbdaq.py already running.
2025-05-03T13:31:40, INFO, nrbdaq, Initialize FIDAS
2025-05-03T13:31:40, INFO, nrbdaq, Initialize FIDAS
2025-05-03T13:31:40, INFO, nrbdaq, Initialize FIDAS
2025-05-03T13:31:40, INFO, nrbdaq, [FIDAS.__exit__] Goodbye!
2025-05-03T13:31:40, INFO, nrbdaq, [FIDAS.__exit__] Goodbye!
2025-05-03T13:31:40, INFO, nrbdaq, [FIDAS.__exit__] Goodbye!
2025-05-03T13:32:41, INFO, nrbdaq, Initialize FIDAS
2025-05-03T13:33:41, INFO, nrbdaq, [FIDAS.__exit__] Goodbye!
2025-05-03T13:35:02, INFO, nrbdaq.sh, nrbdaq.py already running.
2025-05-03T13:40:01, INFO, nrbdaq.sh, nrbdaq.py already running.
2025-05-03T13:43:52, INFO, nrbdaq, Initialize FIDAS
2025-05-03T13:44:52, INFO, nrbdaq, [FIDAS.__exit__] Goodbye!
2025-05-03T13:45:01, INFO, nrbdaq.sh, nrbdaq.py already running.
2025-05-03T13:50:01, INFO, nrbdaq.sh, nrbdaq.py already running.
2025-05-03T13:55:01, INFO, nrbdaq.sh, nrbdaq.py already running.
2025-05-03T14:00:01, INFO, nrbdaq.sh, nrbdaq.py already running.
2025-05-03T14:05:01, INFO, nrbdaq.sh, nrbdaq.py already running.
2025-05-03T14:10:01, INFO, nrbdaq.sh, nrbdaq.py already running.
2025-05-03T14:15:01, INFO, nrbdaq.sh, nrbdaq.py already running.
2025-05-03T14:20:01, INFO, nrbdaq.sh, nrbdaq.py already running.
2025-05-03T14:25:01, INFO, nrbdaq.sh, nrbdaq.py already running.
2025-05-03T14:30:02, INFO, nrbdaq.sh, nrbdaq.py already running.
2025-05-03T14:35:01, INFO, nrbdaq.sh, nrbdaq.py already running.
2025-05-03T14:40:01, INFO, nrbdaq.sh, nrbdaq.py already running.
2025-05-03T14:43:15, INFO, nrbdaq, Initialize FIDAS
2025-05-03T14:45:01, INFO, nrbdaq.sh, nrbdaq.py already running.
